Cluster,0,1,total_transactions,Fraud_Amount,Min_Amount,Max_Amount,Avg_Amount,Std_Amount,25%_Amount,50%_Amount,75%_Amount,95%_Amount
-1,13921,52,13973,7845.75,0.0,25691.16,160.98,417.89,10.65,42.75,159.79,657.63
1943,4155,0,4155,0.0,0.0,390.0,21.55,33.36,2.69,9.22,24.83,88.27
1859,3141,0,3141,0.0,0.0,853.71,59.11,99.61,4.49,19.95,65.0,261.06
1919,3058,0,3058,0.0,0.0,390.48,22.03,34.7,2.69,8.98,25.0,94.3
1689,2946,0,2946,0.0,0.0,1542.72,68.84,134.22,3.98,22.69,73.79,291.01
1809,2358,0,2358,0.0,0.0,826.0,50.63,90.93,1.98,14.99,54.98,224.0
1699,2146,0,2146,0.0,0.0,742.45,50.53,80.93,2.49,18.19,60.0,213.56
1791,800,0,800,0.0,0.01,667.96,44.58,80.38,1.98,11.93,48.8,187.13
1843,685,0,685,0.0,0.01,256.79,21.59,31.62,3.4,9.99,25.55,85.25
1663,666,0,666,0.0,0.31,513.41,39.73,75.0,1.79,7.44,42.48,210.41
1079,634,0,634,0.0,0.0,1157.32,89.01,127.57,17.99,41.68,101.26,335.0
1756,593,0,593,0.0,0.11,252.6,19.14,29.29,2.76,8.93,20.0,79.99
1059,571,0,571,0.0,0.0,736.87,83.83,105.87,19.95,46.8,97.45,309.57
906,553,0,553,0.0,1.0,905.36,98.04,120.49,20.8,54.0,126.0,338.32
1065,495,0,495,0.0,0.02,578.0,72.26,91.45,15.0,29.99,84.0,274.84
881,435,0,435,0.0,0.01,598.61,74.29,80.55,19.99,45.94,103.72,234.78
1063,421,0,421,0.0,0.02,577.76,82.04,102.32,15.0,40.0,100.0,338.0
912,416,0,416,0.0,1.0,662.32,111.83,115.76,33.4,66.03,147.86,359.81
890,405,0,405,0.0,1.0,569.97,115.53,117.58,31.9,75.9,158.0,359.99
816,403,0,403,0.0,0.01,661.0,88.93,112.01,18.13,46.8,114.54,328.04
887,380,0,380,0.0,0.95,774.79,123.92,133.0,33.74,75.0,171.96,394.05
625,364,0,364,0.0,0.01,282.27,26.58,39.62,3.76,10.0,34.92,93.03
560,329,0,329,0.0,0.0,349.51,43.38,61.86,1.98,17.18,59.85,169.23
581,329,0,329,0.0,0.01,474.59,55.59,76.84,6.87,27.68,70.01,227.76
914,329,0,329,0.0,1.0,981.95,102.38,131.34,29.8,56.29,133.8,302.45
1666,320,0,320,0.0,0.0,540.7,42.96,76.56,4.67,12.37,48.92,153.94
822,314,0,314,0.0,0.01,350.0,54.78,62.07,15.0,29.95,70.5,194.15
1733,284,0,284,0.0,1.0,600.0,58.18,108.12,1.0,4.84,64.01,303.62
1657,259,0,259,0.0,0.0,368.54,35.19,54.67,6.03,12.14,40.11,151.24
1342,247,0,247,0.0,0.0,1603.42,174.26,299.16,10.0,49.99,179.06,812.0
1629,246,0,246,0.0,0.0,302.74,41.18,57.92,5.42,15.38,59.59,159.33
1541,213,0,213,0.0,0.0,432.47,38.29,67.94,4.95,12.13,38.0,155.77
1562,207,0,207,0.0,1.0,603.06,87.71,134.8,1.0,19.99,120.0,388.65
405,205,0,205,0.0,0.77,231.7,29.36,38.53,9.66,15.95,37.34,101.1
932,197,0,197,0.0,1.0,305.3,50.46,51.95,15.0,28.2,70.65,153.72
430,143,0,143,0.0,1.0,264.82,27.08,34.72,14.72,15.95,33.1,76.23
432,137,0,137,0.0,0.89,223.8,22.29,33.82,2.69,11.99,24.99,90.82
