Cluster,0,1,total_transactions,Fraud_Amount,Min_Amount,Max_Amount,Avg_Amount,Std_Amount,25%_Amount,50%_Amount,75%_Amount,95%_Amount
-1,14992,54,15046,7880.98,0.0,25691.16,155.63,404.91,10.5,40.58,155.46,635.14
2148,3383,0,3383,0.0,0.0,390.0,20.62,32.7,2.69,9.12,21.99,84.99
1999,3119,0,3119,0.0,0.0,853.71,57.25,95.86,4.49,19.68,64.95,250.0
1796,2938,0,2938,0.0,0.0,1542.72,68.51,134.01,3.9,22.49,73.2,290.1
2102,2546,0,2546,0.0,0.0,224.0,18.0,27.15,2.58,7.75,20.0,76.0
1946,2308,0,2308,0.0,0.0,652.72,44.85,74.79,1.98,14.5,50.0,195.74
1810,2119,0,2119,0.0,0.0,593.2,47.59,73.1,2.3,17.9,59.11,189.66
1917,789,0,789,0.0,0.01,541.93,40.23,66.21,1.98,10.62,46.5,178.38
1983,636,0,636,0.0,0.01,256.79,20.2,29.57,2.99,9.8,21.46,85.25
1151,634,0,634,0.0,0.0,1157.32,89.01,127.57,17.99,41.68,101.26,335.0
1771,609,0,609,0.0,0.31,513.41,40.89,77.37,1.79,6.99,44.95,213.19
1139,553,0,553,0.0,0.0,725.88,75.4,91.0,19.95,44.38,91.0,260.6
963,537,0,537,0.0,1.0,668.04,92.53,107.11,20.0,50.34,123.0,318.32
1143,479,0,479,0.0,0.02,472.58,68.49,85.35,15.0,29.95,80.46,262.55
915,435,0,435,0.0,0.01,598.61,74.29,80.55,19.99,45.94,103.72,234.78
1130,421,0,421,0.0,0.02,577.76,82.04,102.32,15.0,40.0,100.0,338.0
857,384,0,384,0.0,0.01,472.8,80.84,95.51,16.6,44.12,108.74,297.5
1881,373,0,373,0.0,0.11,170.13,13.03,22.94,2.28,5.98,10.98,46.16
954,367,0,367,0.0,1.0,569.97,111.98,111.99,31.54,76.0,158.0,343.61
972,356,0,356,0.0,1.0,662.32,113.51,115.82,37.38,69.48,153.16,355.86
946,343,0,343,0.0,0.95,638.42,119.07,120.41,33.0,75.0,167.5,386.48
600,322,0,322,0.0,0.01,474.59,53.79,74.05,6.59,24.34,67.48,219.99
1766,320,0,320,0.0,0.0,540.7,42.96,76.56,4.67,12.37,48.92,153.94
585,317,0,317,0.0,0.0,349.51,39.62,58.15,1.98,15.94,50.89,151.15
853,306,0,306,0.0,0.01,350.0,55.1,62.53,15.0,29.95,70.5,197.75
664,289,0,289,0.0,0.27,282.27,26.24,39.09,4.26,9.99,34.66,92.89
980,284,0,284,0.0,1.0,371.4,81.99,73.63,29.0,52.1,116.7,234.86
1854,260,0,260,0.0,1.0,600.0,51.17,99.7,1.0,1.0,60.01,251.0
1758,259,0,259,0.0,0.0,368.54,35.19,54.67,6.03,12.14,40.11,151.24
1732,236,0,236,0.0,0.0,302.74,39.43,56.34,4.74,15.18,54.68,155.43
437,191,0,191,0.0,0.77,231.7,28.69,38.03,9.95,15.95,36.0,100.69
1642,191,0,191,0.0,0.0,218.6,27.22,40.02,4.26,10.65,31.23,123.74
2081,184,0,184,0.0,0.0,270.84,43.01,49.85,9.99,24.28,57.82,151.93
2117,172,0,172,0.0,0.5,49.99,5.08,8.15,1.0,1.79,5.07,21.36
1882,152,0,152,0.0,0.5,252.6,35.57,37.85,9.79,24.49,45.09,105.66
1664,137,0,137,0.0,1.0,550.0,65.8,114.63,1.0,1.0,81.88,324.9
434,137,0,137,0.0,0.89,223.8,22.29,33.82,2.69,11.99,24.99,90.82
1986,130,0,130,0.0,0.76,247.91,7.11,26.66,0.76,1.0,1.0,52.9
1740,123,1,124,0.76,0.76,219.88,6.44,29.73,0.76,1.0,1.0,1.0
1038,124,0,124,0.0,1.0,152.65,33.87,32.66,11.88,20.98,45.24,112.58
443,120,0,120,0.0,1.0,215.12,28.68,29.71,15.95,15.95,39.0,77.67
2127,114,0,114,0.0,1.0,182.02,31.79,36.78,8.03,16.55,44.68,100.67
2143,105,0,105,0.0,0.15,110.0,14.16,17.24,1.46,7.63,23.8,44.6
1456,103,0,103,0.0,1.0,1603.42,284.6,385.04,19.77,135.0,356.5,1181.55
445,102,0,102,0.0,0.8,150.0,19.47,22.39,7.01,13.0,23.75,62.59
2038,101,0,101,0.0,1.0,104.4,25.34,25.01,6.99,15.43,36.0,73.4
2024,99,0,99,0.0,0.74,99.99,5.37,17.0,0.89,1.0,3.78,10.09
1468,96,0,96,0.0,0.01,293.68,37.39,50.95,7.46,14.61,49.3,148.5
1454,95,0,95,0.0,0.0,273.99,43.41,60.96,1.54,20.0,60.0,184.92
1119,90,1,91,19.95,11.0,390.0,54.85,57.44,19.97,30.0,65.0,159.0
1434,85,0,85,0.0,0.01,407.92,57.69,78.74,9.2,28.75,78.26,198.73
581,85,0,85,0.0,0.44,236.6,33.38,55.92,1.98,8.99,40.0,173.78
515,75,0,75,0.0,0.77,89.99,13.34,16.25,2.69,7.7,15.98,49.99
1117,73,0,73,0.0,10.0,199.0,48.03,46.62,19.95,29.99,49.99,181.0
433,67,0,67,0.0,0.99,135.0,23.61,25.85,4.49,19.0,35.28,68.86
455,67,0,67,0.0,0.95,339.0,76.07,75.49,21.11,55.53,101.47,233.85
322,65,0,65,0.0,1.55,74.0,12.32,8.11,11.85,11.85,11.85,11.85
1780,65,0,65,0.0,2.0,137.42,34.08,33.02,11.84,21.0,42.42,121.11
1925,63,0,63,0.0,1.0,5.0,2.84,1.86,1.0,4.0,5.0,5.0
454,62,0,62,0.0,2.1,280.47,48.0,56.64,15.0,24.92,69.93,153.5
488,61,0,61,0.0,0.02,295.0,53.78,67.47,15.0,29.99,66.0,219.0
499,61,0,61,0.0,1.04,379.0,70.02,74.02,25.96,40.0,90.0,210.0
419,58,0,58,0.0,0.96,14.95,6.17,4.61,2.12,2.22,11.27,11.27
1261,57,0,57,0.0,1.0,189.0,47.83,39.33,19.95,34.99,69.56,109.19
1770,50,0,50,0.0,1.0,211.53,25.78,40.27,1.0,16.47,29.19,95.11
