Cluster,0,1,total_transactions,Fraud_Amount,Min_Amount,Max_Amount,Avg_Amount,Std_Amount,25%_Amount,50%_Amount,75%_Amount,95%_Amount
-1,9772,36,9808,5347.77,0.0,25691.16,164.94,442.35,10.99,44.99,165.97,657.93
3951,4494,0,4494,0.0,0.0,409.0,23.06,36.66,2.69,9.73,26.24,95.0
3890,3668,0,3668,0.0,0.0,390.48,23.88,37.13,2.69,9.0,28.75,99.95
3860,3155,0,3155,0.0,0.0,853.71,60.3,102.03,4.49,19.98,66.6,272.08
3557,2966,0,2966,0.0,0.0,1542.72,71.66,139.62,4.0,23.12,74.95,306.68
3772,2399,0,2399,0.0,0.0,826.0,53.37,94.93,1.98,15.5,57.06,235.56
3563,2237,0,2237,0.0,0.0,742.45,55.55,87.99,2.92,19.99,64.99,240.2
3748,829,0,829,0.0,0.01,667.96,46.53,83.4,1.98,12.99,50.0,192.12
3824,795,0,795,0.0,0.01,256.79,24.38,34.33,3.59,10.74,30.39,99.0
2302,689,0,689,0.0,0.0,1157.32,88.88,129.41,19.95,44.0,99.0,330.12
3543,686,0,686,0.0,0.31,513.41,39.09,74.01,1.79,8.67,39.68,209.72
3675,639,0,639,0.0,0.11,252.6,20.38,30.47,2.98,8.99,23.5,84.95
2294,567,0,567,0.0,0.0,725.88,80.79,97.98,19.95,45.98,95.38,284.66
1987,550,0,550,0.0,1.0,905.36,97.75,120.56,20.8,54.0,125.82,339.53
2283,545,0,545,0.0,0.02,593.75,75.61,97.08,15.0,34.99,85.0,281.44
1796,465,0,465,0.0,0.01,661.0,88.55,109.19,20.0,49.95,109.0,327.09
2281,448,0,448,0.0,0.02,577.76,82.09,102.81,15.0,40.0,100.54,333.3
1970,439,0,439,0.0,1.0,830.0,123.59,134.77,34.97,69.99,158.0,406.85
1961,427,0,427,0.0,0.01,598.61,71.4,76.46,19.54,45.0,101.2,207.78
1956,405,0,405,0.0,1.0,569.97,115.53,117.58,31.9,75.9,158.0,359.99
1340,394,0,394,0.0,0.01,282.27,28.14,40.68,3.86,11.5,38.33,97.79
1951,380,0,380,0.0,0.95,774.79,123.92,133.0,33.74,75.0,171.96,394.05
1798,348,0,348,0.0,0.01,659.02,70.97,94.24,15.0,34.4,82.85,270.21
1984,343,0,343,0.0,1.0,981.95,106.34,131.75,29.98,57.0,139.2,314.88
1272,335,0,335,0.0,0.01,669.53,57.92,83.6,6.94,28.0,71.76,238.08
3541,332,0,332,0.0,0.0,540.7,45.64,79.56,4.91,13.69,52.08,187.19
1245,327,0,327,0.0,0.0,349.51,42.3,60.47,1.98,16.99,58.42,159.1
3656,295,0,295,0.0,1.0,600.0,58.02,107.45,1.0,7.07,61.32,308.56
3535,259,0,259,0.0,0.0,368.54,35.19,54.67,6.03,12.14,40.11,151.24
3483,246,0,246,0.0,0.0,302.74,41.18,57.92,5.42,15.38,59.59,159.33
2868,243,0,243,0.0,0.0,1603.42,169.11,296.4,10.0,48.7,166.24,819.33
