Cluster,0,1,total_transactions,Fraud_Amount,Min_Amount,Max_Amount,Avg_Amount,Std_Amount,25%_Amount,50%_Amount,75%_Amount,95%_Amount
-1,10578,36,10614,5347.77,0.0,25691.16,158.57,427.36,10.68,42.81,159.1,632.0
4381,4155,0,4155,0.0,0.0,390.0,21.55,33.36,2.69,9.22,24.83,88.27
4170,3141,0,3141,0.0,0.0,853.71,59.11,99.61,4.49,19.95,65.0,261.06
4330,3058,0,3058,0.0,0.0,390.48,22.03,34.7,2.69,8.98,25.0,94.3
3826,2946,0,2946,0.0,0.0,1542.72,68.84,134.22,3.98,22.69,73.79,291.01
4071,2358,0,2358,0.0,0.0,826.0,50.63,90.93,1.98,14.99,54.98,224.0
3847,2143,0,2143,0.0,0.0,742.45,50.56,80.98,2.42,18.1,60.0,213.64
4041,800,0,800,0.0,0.01,667.96,44.58,80.38,1.98,11.93,48.8,187.13
4143,682,0,682,0.0,0.01,256.79,21.16,30.54,3.2,9.99,25.2,85.25
3783,666,0,666,0.0,0.31,513.41,39.73,75.0,1.79,7.44,42.48,210.41
2447,634,0,634,0.0,0.0,1157.32,89.01,127.57,17.99,41.68,101.26,335.0
3964,593,0,593,0.0,0.11,252.6,19.14,29.29,2.76,8.93,20.0,79.99
2425,563,0,563,0.0,0.0,725.88,79.26,96.12,19.95,45.85,93.81,278.35
2079,550,0,550,0.0,1.0,905.36,97.75,120.56,20.8,54.0,125.82,339.53
2418,495,0,495,0.0,0.02,578.0,72.26,91.45,15.0,29.99,84.0,274.84
2038,427,0,427,0.0,0.01,598.61,71.4,76.46,19.54,45.0,101.2,207.78
2416,421,0,421,0.0,0.02,577.76,82.04,102.32,15.0,40.0,100.0,338.0
2087,414,0,414,0.0,1.0,662.32,110.71,114.89,33.2,65.94,146.76,356.21
1878,400,0,400,0.0,0.01,599.99,85.16,103.48,17.84,45.5,111.14,316.15
2047,398,0,398,0.0,1.0,569.97,113.99,115.47,31.77,75.78,158.0,351.5
2056,371,0,371,0.0,0.95,774.79,122.07,130.49,33.0,75.0,169.97,392.25
1423,344,0,344,0.0,0.01,282.27,26.0,38.25,3.89,10.0,34.8,91.87
2091,329,0,329,0.0,1.0,981.95,102.38,131.34,29.8,56.29,133.8,302.45
1325,329,0,329,0.0,0.01,474.59,55.59,76.84,6.87,27.68,70.01,227.76
1300,323,0,323,0.0,0.0,349.51,40.86,59.0,1.98,16.92,54.44,156.88
3789,320,0,320,0.0,0.0,540.7,42.96,76.56,4.67,12.37,48.92,153.94
1887,311,0,311,0.0,0.01,350.0,54.99,62.24,15.0,30.0,70.35,195.5
3923,284,0,284,0.0,1.0,600.0,58.18,108.12,1.0,4.84,64.01,303.62
3770,259,0,259,0.0,0.0,368.54,35.19,54.67,6.03,12.14,40.11,151.24
3718,246,0,246,0.0,0.0,302.74,41.18,57.92,5.42,15.38,59.59,159.33
3045,243,0,243,0.0,0.0,1603.42,169.11,296.4,10.0,48.7,166.24,819.33
3507,210,0,210,0.0,0.0,392.18,35.0,58.23,4.96,12.13,37.66,148.77
3550,207,0,207,0.0,1.0,603.06,87.71,134.8,1.0,19.99,120.0,388.65
1012,200,0,200,0.0,0.77,231.7,28.84,37.82,9.49,15.95,36.34,100.07
2171,177,0,177,0.0,1.0,305.3,50.82,52.84,14.3,28.35,73.0,153.72
1035,143,0,143,0.0,1.0,264.82,27.08,34.72,14.72,15.95,33.1,76.23
1037,137,0,137,0.0,0.89,223.8,22.29,33.82,2.69,11.99,24.99,90.82
4156,130,0,130,0.0,0.76,247.91,7.11,26.66,0.76,1.0,1.0,52.9
4261,126,0,126,0.0,1.0,181.78,28.99,32.05,7.18,16.34,39.77,94.75
3738,123,1,124,0.76,0.76,219.88,6.44,29.73,0.76,1.0,1.0,1.0
4247,112,0,112,0.0,0.74,99.99,5.19,16.06,0.89,1.0,3.77,10.44
1046,105,0,105,0.0,0.8,255.68,25.57,42.11,7.49,14.95,28.75,76.92
3502,97,0,97,0.0,0.32,183.1,22.14,32.81,4.59,8.53,23.19,85.08
3116,96,0,96,0.0,0.01,293.68,37.39,50.95,7.46,14.61,49.3,148.5
1364,94,0,94,0.0,0.89,259.9,26.31,45.84,2.91,9.83,24.42,120.51
2399,90,1,91,19.95,11.0,390.0,54.85,57.44,19.97,30.0,65.0,159.0
3052,85,0,85,0.0,0.01,407.92,57.69,78.74,9.2,28.75,78.26,198.73
1296,85,0,85,0.0,0.44,236.6,33.38,55.92,1.98,8.99,40.0,173.78
1143,82,0,82,0.0,0.77,89.99,13.28,16.11,2.69,8.34,15.99,49.97
1100,74,0,74,0.0,0.02,405.32,68.9,90.61,14.21,29.99,70.85,289.51
2393,73,0,73,0.0,10.0,199.0,48.03,46.62,19.95,29.99,49.99,181.0
814,69,0,69,0.0,1.55,128.25,13.98,16.02,11.85,11.85,11.85,11.85
1054,67,0,67,0.0,0.95,339.0,76.07,75.49,21.11,55.53,101.47,233.85
1036,67,0,67,0.0,0.99,135.0,23.61,25.85,4.49,19.0,35.28,68.86
2081,65,0,65,0.0,2.9,158.0,28.53,29.84,12.0,19.6,28.4,86.4
1023,65,0,65,0.0,0.89,235.28,15.86,36.21,1.0,1.0,14.9,74.12
3805,65,0,65,0.0,2.0,137.42,34.08,33.02,11.84,21.0,42.42,121.11
4062,63,0,63,0.0,1.0,5.0,2.84,1.86,1.0,4.0,5.0,5.0
1131,61,0,61,0.0,1.04,379.0,70.02,74.02,25.96,40.0,90.0,210.0
1016,58,0,58,0.0,0.96,14.95,6.17,4.61,2.12,2.22,11.27,11.27
2635,53,0,53,0.0,1.0,189.0,48.21,40.18,19.95,34.99,69.56,119.38
2083,53,0,53,0.0,2.0,125.29,31.96,28.6,10.0,20.0,53.95,78.53
2603,51,0,51,0.0,0.02,158.1,30.98,27.55,15.44,24.99,39.94,81.67
1105,49,0,49,0.0,3.48,405.1,120.81,111.03,28.0,96.0,158.0,359.06
4047,48,0,48,0.0,1.97,153.81,42.5,42.38,9.99,26.35,56.36,137.5
3927,47,0,47,0.0,1.0,180.0,21.69,45.41,1.0,1.0,3.07,120.0
4157,46,0,46,0.0,7.72,154.23,36.95,41.0,12.31,12.31,29.56,131.41
1397,46,0,46,0.0,0.89,114.2,13.66,23.6,1.84,3.82,13.45,52.04
3592,45,0,45,0.0,0.68,89.99,11.5,25.79,0.89,1.79,4.99,89.99
1069,44,0,44,0.0,0.89,100.0,15.63,19.66,3.44,9.2,16.46,38.92
1055,43,0,43,0.0,3.1,469.04,71.18,102.12,12.0,37.4,73.62,264.54
3580,43,0,43,0.0,0.75,44.99,2.77,7.0,0.89,1.0,1.79,3.59
2448,42,0,42,0.0,14.0,194.34,68.01,38.26,42.03,59.8,85.36,120.99
3611,42,0,42,0.0,0.01,105.64,26.84,26.6,10.43,17.66,32.29,99.97
1031,42,0,42,0.0,0.01,175.89,37.53,39.55,7.52,27.45,49.74,114.19
4021,41,0,41,0.0,1.0,61.6,3.13,10.25,1.0,1.0,1.0,1.0
1027,40,0,40,0.0,0.89,125.42,9.8,20.9,1.98,1.98,8.02,28.58
3995,40,0,40,0.0,1.0,156.72,33.43,38.92,6.6,19.96,39.48,109.6
2598,40,0,40,0.0,1.0,126.75,20.95,24.6,11.5,15.0,18.71,85.3
3538,38,0,38,0.0,1.0,130.51,33.69,31.25,12.27,23.23,43.7,111.81
3841,38,0,38,0.0,0.0,348.0,118.74,86.27,49.79,118.71,187.65,247.45
1052,37,0,37,0.0,0.77,57.91,9.46,9.25,2.49,11.27,11.27,12.29
1065,37,0,37,0.0,0.89,28.2,6.59,5.29,1.98,7.18,8.99,11.79
2419,36,0,36,0.0,10.0,204.38,56.61,34.93,39.8,49.9,71.22,99.99
1739,35,0,35,0.0,5.0,228.0,45.84,55.4,11.02,20.0,44.5,177.0
3530,35,0,35,0.0,1.0,79.0,4.51,13.52,1.0,1.0,1.0,13.87
4140,35,0,35,0.0,0.95,139.0,35.85,45.09,5.22,11.01,41.22,136.2
3866,35,0,35,0.0,9.31,258.76,61.25,75.91,12.31,16.0,92.75,215.42
3033,35,0,35,0.0,0.89,118.57,19.49,26.32,1.98,10.52,24.64,68.49
1260,35,0,35,0.0,1.0,250.0,43.79,67.03,1.0,11.91,41.32,202.46
811,35,0,35,0.0,2.8,170.59,25.91,37.83,11.85,11.85,11.85,119.12
2488,34,0,34,0.0,1.0,14.9,3.65,3.68,1.58,2.04,3.48,12.61
3765,34,0,34,0.0,0.76,212.5,10.33,38.21,0.76,0.76,0.76,56.75
3042,34,0,34,0.0,0.89,259.18,51.82,70.76,1.98,11.0,72.5,193.12
1874,33,0,33,0.0,3.99,155.81,69.07,42.91,32.0,54.0,104.45,142.53
3732,32,0,32,0.0,1.0,179.7,6.87,31.58,1.0,1.0,1.0,5.05
1322,31,0,31,0.0,0.76,1.9,0.86,0.22,0.76,0.76,1.0,1.0
3571,30,0,30,0.0,0.76,69.38,6.08,14.17,1.0,1.14,2.82,29.23
1089,30,0,30,0.0,10.0,261.62,73.71,70.21,19.21,48.74,104.18,217.95
1316,30,0,30,0.0,0.0,77.17,20.05,20.8,5.05,11.9,27.58,66.85
2720,29,0,29,0.0,0.0,202.02,35.32,47.63,7.87,13.62,43.15,128.73
1380,29,0,29,0.0,0.76,60.99,8.37,12.83,1.5,3.98,9.99,30.4
3573,29,0,29,0.0,0.74,89.99,13.22,25.83,0.89,2.29,9.18,84.46
4053,27,2,29,35.23,0.76,119.07,6.23,22.37,1.0,1.0,1.0,20.12
948,28,0,28,0.0,0.89,53.77,10.96,11.66,2.91,9.48,12.99,32.42
2333,28,0,28,0.0,0.95,146.09,55.15,40.81,27.96,45.29,75.21,123.18
3809,28,0,28,0.0,1.0,15.2,1.51,2.68,1.0,1.0,1.0,1.0
4016,27,0,27,0.0,0.76,0.76,0.76,0.0,0.76,0.76,0.76,0.76
3450,27,0,27,0.0,0.76,80.93,17.04,20.1,4.06,12.82,18.87,62.84
4189,27,0,27,0.0,4.94,69.97,29.24,18.51,15.0,27.9,38.5,67.9
2178,27,0,27,0.0,10.0,709.38,269.49,233.65,61.5,194.38,530.03,615.53
726,26,0,26,0.0,3.7,74.0,13.87,12.43,11.85,11.85,11.85,14.49
3024,26,0,26,0.0,0.0,115.45,27.11,27.34,11.5,18.67,28.75,77.71
2600,25,0,25,0.0,2.39,124.0,40.92,35.85,12.57,23.53,71.44,99.19
2623,25,0,25,0.0,1.0,144.7,47.97,39.54,15.0,35.85,72.8,117.72
408,25,0,25,0.0,7.86,152.15,53.71,38.81,27.49,48.32,62.59,142.67
1382,25,0,25,0.0,0.45,39.98,4.19,7.92,0.77,1.43,4.0,7.93
3494,25,0,25,0.0,0.0,37.13,13.78,10.59,6.08,11.48,19.53,34.2
1801,24,0,24,0.0,15.0,397.5,146.82,91.49,87.32,115.55,184.12,292.87
1024,23,0,23,0.0,2.49,169.0,38.62,31.69,24.42,36.0,38.25,61.9
4120,23,0,23,0.0,20.0,199.24,78.44,47.97,47.42,62.88,98.54,186.81
