Cluster,0,1,total_transactions,Fraud_Amount,Min_Amount,Max_Amount,Avg_Amount,Std_Amount,25%_Amount,50%_Amount,75%_Amount,95%_Amount
-1,11424,38,11462,5383.0,0.0,25691.16,152.73,413.26,10.59,40.4,153.18,609.0
4852,3323,0,3323,0.0,0.0,390.0,20.38,32.39,2.69,9.05,21.73,83.33
4484,3119,0,3119,0.0,0.0,853.71,57.25,95.86,4.49,19.68,64.95,250.0
4081,2921,0,2921,0.0,0.0,1542.72,66.86,131.69,3.84,22.18,71.47,279.0
4747,2540,0,2540,0.0,0.0,224.0,18.02,27.17,2.58,7.75,20.0,76.01
4378,2308,0,2308,0.0,0.0,652.72,44.85,74.79,1.98,14.5,50.0,195.74
4093,2119,0,2119,0.0,0.0,593.2,47.59,73.1,2.3,17.9,59.11,189.66
4318,789,0,789,0.0,0.01,541.93,40.23,66.21,1.98,10.62,46.5,178.38
4446,636,0,636,0.0,0.01,256.79,20.2,29.57,2.99,9.8,21.46,85.25
2594,634,0,634,0.0,0.0,1157.32,89.01,127.57,17.99,41.68,101.26,335.0
4022,607,0,607,0.0,0.31,513.41,40.85,77.49,1.79,6.95,44.86,213.33
2580,549,0,549,0.0,0.0,501.6,73.3,83.25,19.95,44.0,91.0,249.72
2193,537,0,537,0.0,1.0,668.04,92.53,107.11,20.0,50.34,123.0,318.32
2575,479,0,479,0.0,0.02,472.58,68.49,85.35,15.0,29.95,80.46,262.55
2115,427,0,427,0.0,0.01,598.61,71.4,76.46,19.54,45.0,101.2,207.78
2554,421,0,421,0.0,0.02,577.76,82.04,102.32,15.0,40.0,100.0,338.0
1964,384,0,384,0.0,0.01,472.8,80.84,95.51,16.6,44.12,108.74,297.5
4240,373,0,373,0.0,0.11,170.13,13.03,22.94,2.28,5.98,10.98,46.16
2179,365,0,365,0.0,1.0,569.97,112.15,112.25,31.35,76.0,158.0,344.46
2212,356,0,356,0.0,1.0,662.32,113.51,115.82,37.38,69.48,153.16,355.86
2168,343,0,343,0.0,0.95,638.42,119.07,120.41,33.0,75.0,167.5,386.48
1367,322,0,322,0.0,0.01,474.59,53.79,74.05,6.59,24.34,67.48,219.99
4008,320,0,320,0.0,0.0,540.7,42.96,76.56,4.67,12.37,48.92,153.94
1341,313,0,313,0.0,0.0,349.51,39.96,58.43,1.98,15.94,52.0,152.3
1959,306,0,306,0.0,0.01,350.0,55.1,62.53,15.0,29.95,70.5,197.75
1500,289,0,289,0.0,0.27,282.27,26.24,39.09,4.26,9.99,34.66,92.89
2223,284,0,284,0.0,1.0,371.4,81.99,73.63,29.0,52.1,116.7,234.86
4187,256,0,256,0.0,1.0,600.0,51.6,100.39,1.0,1.0,60.23,255.0
4010,246,0,246,0.0,0.0,368.54,33.54,50.79,6.24,12.24,37.9,142.0
3938,236,0,236,0.0,0.0,302.74,39.43,56.34,4.74,15.18,54.68,155.43
1058,191,0,191,0.0,0.77,231.7,28.69,38.03,9.95,15.95,36.0,100.69
3721,191,0,191,0.0,0.0,218.6,27.22,40.02,4.26,10.65,31.23,123.74
4693,182,0,182,0.0,0.0,270.84,43.23,50.08,9.99,24.28,59.2,152.06
4782,164,0,164,0.0,0.5,49.99,4.72,7.62,1.0,1.79,4.96,19.77
4241,152,0,152,0.0,0.5,252.6,35.57,37.85,9.79,24.49,45.09,105.66
3772,137,0,137,0.0,1.0,550.0,65.8,114.63,1.0,1.0,81.88,324.9
1052,137,0,137,0.0,0.89,223.8,22.29,33.82,2.69,11.99,24.99,90.82
4453,126,0,126,0.0,0.76,89.82,4.78,15.68,0.76,1.0,1.0,40.0
1065,120,0,120,0.0,1.0,215.12,28.68,29.71,15.95,15.95,39.0,77.67
2350,119,0,119,0.0,1.0,152.65,33.5,32.38,11.85,20.4,45.48,107.94
3958,116,1,117,0.76,0.76,219.88,4.22,23.09,0.76,1.0,1.0,1.0
4806,114,0,114,0.0,1.0,182.02,31.79,36.78,8.03,16.55,44.68,100.67
3268,103,0,103,0.0,1.0,1603.42,284.6,385.04,19.77,135.0,356.5,1181.55
4836,103,0,103,0.0,0.15,110.0,13.77,17.12,1.46,7.32,22.98,43.72
1068,102,0,102,0.0,0.8,150.0,19.47,22.39,7.01,13.0,23.75,62.59
4588,101,0,101,0.0,1.0,104.4,25.34,25.01,6.99,15.43,36.0,73.4
4562,99,0,99,0.0,0.74,99.99,5.37,17.0,0.89,1.0,3.78,10.09
3303,96,0,96,0.0,0.01,293.68,37.39,50.95,7.46,14.61,49.3,148.5
3266,95,0,95,0.0,0.0,273.99,43.41,60.96,1.54,20.0,60.0,184.92
2537,90,1,91,19.95,11.0,390.0,54.85,57.44,19.97,30.0,65.0,159.0
3228,85,0,85,0.0,0.01,407.92,57.69,78.74,9.2,28.75,78.26,198.73
1331,83,0,83,0.0,0.44,236.6,31.64,55.44,1.98,7.99,31.4,175.17
1192,75,0,75,0.0,0.77,89.99,13.34,16.25,2.69,7.7,15.98,49.99
2531,73,0,73,0.0,10.0,199.0,48.03,46.62,19.95,29.99,49.99,181.0
1049,67,0,67,0.0,0.99,135.0,23.61,25.85,4.49,19.0,35.28,68.86
820,65,0,65,0.0,1.55,74.0,12.32,8.11,11.85,11.85,11.85,11.85
1086,62,0,62,0.0,0.95,339.0,76.67,76.16,22.22,56.0,101.74,237.72
1164,61,0,61,0.0,1.04,379.0,70.02,74.02,25.96,40.0,90.0,210.0
1136,61,0,61,0.0,0.02,295.0,53.78,67.47,15.0,29.99,66.0,219.0
1027,58,0,58,0.0,0.96,14.95,6.17,4.61,2.12,2.22,11.27,11.27
4343,55,0,55,0.0,1.0,5.0,2.78,1.86,1.0,1.0,5.0,5.0
4055,54,0,54,0.0,2.0,126.25,30.24,29.74,11.06,20.94,32.49,91.86
2801,53,0,53,0.0,1.0,189.0,48.21,40.18,19.95,34.99,69.56,119.38
1413,49,0,49,0.0,0.89,89.99,9.97,15.18,2.28,5.99,9.99,33.68
4019,48,0,48,0.0,1.0,211.53,22.87,35.25,1.0,15.03,26.87,57.68
1144,46,0,46,0.0,3.48,385.8,104.33,92.64,25.22,87.65,147.57,265.32
3773,46,0,46,0.0,1.0,603.06,99.27,145.08,3.92,46.98,114.11,435.89
2185,45,0,45,0.0,2.9,80.0,20.23,14.96,10.0,15.0,25.66,37.92
3795,43,0,43,0.0,0.75,44.99,2.77,7.0,0.89,1.0,1.79,3.59
1040,43,0,43,0.0,0.89,29.5,2.74,6.1,1.0,1.0,1.0,13.81
1077,43,0,43,0.0,3.1,469.04,71.18,102.12,12.0,37.4,73.62,264.54
3807,43,0,43,0.0,0.68,89.99,11.67,26.34,0.89,1.79,4.49,89.99
4314,43,0,43,0.0,1.97,138.3,32.79,31.87,9.99,23.95,43.66,99.61
2595,42,0,42,0.0,14.0,194.34,68.01,38.26,42.03,59.8,85.36,120.99
1045,42,0,42,0.0,0.01,175.89,37.53,39.55,7.52,27.45,49.74,114.19
3827,42,0,42,0.0,0.01,105.64,26.84,26.6,10.43,17.66,32.29,99.97
4284,41,0,41,0.0,1.0,61.6,3.13,10.25,1.0,1.0,1.0,1.0
4456,39,0,39,0.0,7.72,115.81,23.84,22.45,12.31,12.31,29.56,74.62
1414,39,0,39,0.0,1.5,259.9,40.7,51.12,12.06,21.5,42.81,124.17
3743,38,0,38,0.0,1.0,130.51,33.69,31.25,12.27,23.23,43.7,111.81
1089,37,0,37,0.0,0.89,28.2,6.59,5.29,1.98,7.18,8.99,11.79
1073,37,0,37,0.0,0.77,57.91,9.46,9.25,2.49,11.27,11.27,12.29
1050,36,0,36,0.0,0.89,125.42,8.58,21.48,1.93,1.98,5.62,28.98
2555,36,0,36,0.0,10.0,204.38,56.61,34.93,39.8,49.9,71.22,99.99
815,35,0,35,0.0,2.8,170.59,25.91,37.83,11.85,11.85,11.85,119.12
3208,35,0,35,0.0,0.89,118.57,19.49,26.32,1.98,10.52,24.64,68.49
1295,35,0,35,0.0,1.0,250.0,43.79,67.03,1.0,11.91,41.32,202.46
4106,35,0,35,0.0,9.31,258.76,61.25,75.91,12.31,16.0,92.75,215.42
2200,35,0,35,0.0,1.0,187.19,56.73,45.96,24.48,40.0,78.62,153.38
3735,35,0,35,0.0,1.0,79.0,4.51,13.52,1.0,1.0,1.0,13.87
3985,34,0,34,0.0,0.76,212.5,10.33,38.21,0.76,0.76,0.76,56.75
1451,33,0,33,0.0,0.89,52.74,10.15,13.94,1.98,3.87,12.0,46.97
1938,33,0,33,0.0,3.99,155.81,69.07,42.91,32.0,54.0,104.45,142.53
3949,32,0,32,0.0,1.0,179.7,6.87,31.58,1.0,1.0,1.0,5.05
4181,32,0,32,0.0,1.0,100.0,5.4,18.79,1.0,1.0,1.0,19.88
1802,32,0,32,0.0,5.0,228.0,45.21,56.83,10.4,20.0,42.88,178.5
1363,31,0,31,0.0,0.76,1.9,0.86,0.22,0.76,0.76,1.0,1.0
3705,31,0,31,0.0,0.79,183.1,33.67,47.81,7.2,10.59,36.94,139.39
2640,31,0,31,0.0,1.0,14.9,3.13,2.89,1.65,2.0,3.35,7.9
4427,31,0,31,0.0,0.95,139.0,37.74,47.53,4.27,9.98,71.97,137.0
3785,30,0,30,0.0,0.76,69.38,6.08,14.17,1.0,1.14,2.82,29.23
1424,29,0,29,0.0,0.76,60.99,8.37,12.83,1.5,3.98,9.99,30.4
1361,28,0,28,0.0,0.0,77.17,20.78,21.36,4.38,15.97,29.07,68.8
4035,28,0,28,0.0,1.0,15.2,1.51,2.68,1.0,1.0,1.0,1.0
3643,27,0,27,0.0,0.76,80.93,17.04,20.1,4.06,12.82,18.87,62.84
2291,27,0,27,0.0,10.0,709.38,269.49,233.65,61.5,194.38,530.03,615.53
4077,27,0,27,0.0,0.0,250.0,120.53,79.26,53.48,129.0,200.6,231.42
4279,27,0,27,0.0,0.76,0.76,0.76,0.0,0.76,0.76,0.76,0.76
3790,26,0,26,0.0,0.74,89.99,11.68,23.99,1.06,2.09,8.77,74.99
2767,26,0,26,0.0,0.02,89.0,27.64,18.67,14.96,27.47,39.67,48.24
729,26,0,26,0.0,3.7,74.0,13.87,12.43,11.85,11.85,11.85,14.49
3199,26,0,26,0.0,0.0,115.45,27.11,27.34,11.5,18.67,28.75,77.71
3704,25,0,25,0.0,0.75,100.0,19.56,25.77,4.68,8.53,22.69,73.41
1426,25,0,25,0.0,0.45,39.98,4.19,7.92,0.77,1.43,4.0,7.93
4265,25,0,25,0.0,1.0,146.59,35.92,36.11,9.5,27.47,46.18,101.21
408,25,0,25,0.0,7.86,152.15,53.71,38.81,27.49,48.32,62.59,142.67
4723,25,0,25,0.0,0.74,89.99,9.98,24.59,0.89,1.0,2.99,76.87
2790,25,0,25,0.0,1.0,144.7,47.97,39.54,15.0,35.85,72.8,117.72
1864,24,0,24,0.0,15.0,397.5,146.82,91.49,87.32,115.55,184.12,292.87
1034,23,0,23,0.0,2.49,169.0,38.62,31.69,24.42,36.0,38.25,61.9
4494,22,0,22,0.0,4.94,69.97,27.17,18.23,14.98,26.9,32.45,67.75
1039,22,0,22,0.0,4.9,235.28,41.51,53.66,6.97,18.56,50.56,118.3
998,22,0,22,0.0,1.0,78.24,7.88,22.09,1.0,1.0,1.0,70.39
936,22,0,22,0.0,0.89,70.11,8.42,14.6,1.98,4.49,8.99,20.47
1022,21,0,21,0.0,0.89,18.49,8.2,5.66,3.99,7.99,10.99,17.3
1333,21,0,21,0.0,1.5,204.84,50.83,59.63,12.14,23.0,64.72,183.94
1064,21,0,21,0.0,1.18,29.3,7.2,6.39,2.12,6.95,10.47,11.27
974,21,0,21,0.0,0.89,18.35,7.16,5.07,2.67,8.07,10.27,14.69
1119,20,0,20,0.0,0.89,17.99,6.58,5.0,2.67,5.38,8.99,15.14
4224,20,0,20,0.0,0.37,99.0,11.68,22.6,1.5,3.89,8.12,42.94
4115,19,1,20,1.0,1.0,50.0,4.56,11.27,1.0,1.0,1.0,17.06
1140,20,0,20,0.0,10.0,261.62,80.11,68.76,24.2,65.51,99.25,211.94
638,20,0,20,0.0,2.0,242.02,54.92,67.02,10.02,22.1,82.44,174.75
1943,20,0,20,0.0,5.99,107.8,51.45,28.87,29.75,51.0,68.2,92.79
3310,20,0,20,0.0,0.89,179.99,16.37,40.64,1.22,2.28,9.92,63.83
617,19,0,19,0.0,5.0,20.0,9.26,5.13,5.0,10.0,10.0,20.0
444,19,0,19,0.0,0.89,59.99,18.62,17.83,5.24,14.95,20.1,58.18
1207,19,0,19,0.0,0.0,261.52,48.12,77.43,2.48,10.59,66.06,225.22
1314,19,0,19,0.0,1.75,89.0,26.73,22.18,8.7,21.98,33.67,67.35
4286,19,0,19,0.0,9.31,29.56,13.8,5.61,12.31,12.31,12.31,29.56
4323,18,0,18,0.0,1.0,400.0,78.65,111.79,1.82,43.14,91.0,285.25
960,18,0,18,0.0,0.89,13.99,3.23,3.07,1.84,1.98,4.4,7.19
1951,17,0,17,0.0,7.0,444.0,157.84,125.14,49.0,139.65,183.59,379.27
2735,17,0,17,0.0,2.5,225.0,50.59,58.12,14.0,25.85,51.23,145.4
2551,17,0,17,0.0,1.0,114.94,14.57,28.98,3.0,3.5,7.1,63.79
4003,17,0,17,0.0,12.31,29.56,16.37,7.54,12.31,12.31,12.31,29.56
2197,17,0,17,0.0,2.0,93.0,25.86,26.12,8.8,15.32,26.0,71.64
4785,16,0,16,0.0,6.66,145.96,54.65,39.87,27.99,46.92,70.1,123.67
1010,16,0,16,0.0,4.66,188.31,44.74,46.93,21.37,29.68,40.03,139.72
3692,16,0,16,0.0,0.0,37.13,14.21,12.35,4.66,11.06,20.62,34.95
4409,16,0,16,0.0,30.0,199.24,76.73,44.69,48.18,65.69,97.78,150.01
1306,16,0,16,0.0,8.99,165.9,42.16,47.18,16.28,22.31,43.94,151.48
2099,16,0,16,0.0,10.19,309.6,71.79,74.62,20.7,58.76,77.47,194.25
874,16,0,16,0.0,9.58,522.4,149.98,149.38,24.35,133.98,201.38,421.05
3267,16,0,16,0.0,0.0,261.95,62.03,80.31,2.81,30.68,74.86,202.74
1799,16,0,16,0.0,10.0,276.0,71.47,70.46,15.0,52.1,100.44,186.0
2632,15,0,15,0.0,1.0,82.53,11.67,22.18,1.5,4.3,5.9,54.0
3222,15,0,15,0.0,1.03,259.18,110.01,72.58,64.84,97.9,150.01,238.31
902,15,0,15,0.0,1.51,46.4,22.71,11.63,17.7,22.6,27.39,39.94
3710,15,0,15,0.0,0.76,57.94,17.17,21.29,1.58,6.05,27.53,56.3
628,15,0,15,0.0,4.0,20.0,7.6,4.22,5.0,5.0,10.0,13.0
2758,15,0,15,0.0,3.1,69.0,24.73,16.72,17.45,24.9,28.74,52.2
4356,15,0,15,0.0,4.04,118.2,40.68,38.82,11.7,21.2,54.58,108.96
4173,15,0,15,0.0,0.67,38.45,9.57,12.14,1.16,3.7,12.7,35.24
4430,15,0,15,0.0,0.85,100.99,20.42,27.22,4.96,10.0,19.98,65.29
2629,15,0,15,0.0,1.0,3.0,1.65,0.63,1.0,2.0,2.0,2.51
2040,15,0,15,0.0,57.18,429.95,167.22,94.57,109.97,139.98,209.48,319.43
622,15,0,15,0.0,1.83,256.38,66.73,75.27,14.58,32.26,79.34,215.79
563,15,0,15,0.0,6.21,99.99,81.8,26.33,89.99,89.99,89.99,99.99
1118,14,0,14,0.0,1.24,83.43,20.96,21.74,4.81,17.98,29.11,54.19
4348,14,0,14,0.0,57.92,411.0,194.99,88.01,200.0,200.0,226.25,295.95
1161,14,0,14,0.0,2.1,97.77,24.83,28.09,11.25,15.6,20.0,85.57
3194,14,0,14,0.0,0.89,148.84,42.32,58.52,1.98,4.19,84.57,138.43
4137,14,0,14,0.0,0.76,47.31,4.27,12.39,1.0,1.0,1.0,17.21
4200,14,0,14,0.0,0.0,279.2,144.81,72.0,111.06,137.78,172.07,270.41
3220,14,0,14,0.0,0.89,16.0,5.25,5.03,1.19,1.98,8.99,13.39
1212,14,0,14,0.0,5.99,229.58,57.64,70.96,14.82,22.66,69.85,206.31
938,14,0,14,0.0,0.89,35.39,8.71,8.37,5.99,8.48,9.73,18.88
3744,13,0,13,0.0,1.0,25.29,10.57,9.41,1.0,7.25,19.95,23.73
2472,13,0,13,0.0,0.95,146.09,47.72,44.3,14.49,31.94,68.52,123.42
3315,13,0,13,0.0,2.28,66.61,18.68,17.56,11.49,11.5,23.0,51.24
4335,13,0,13,0.0,0.76,119.07,10.19,32.72,1.0,1.0,1.0,49.37
4821,13,0,13,0.0,0.89,24.99,8.0,8.82,1.98,2.58,15.99,22.25
3752,13,0,13,0.0,1.0,12.0,1.85,3.05,1.0,1.0,1.0,5.4
3197,13,0,13,0.0,0.0,74.15,29.76,23.97,11.4,22.06,54.91,63.24
2896,13,0,13,0.0,0.75,86.55,18.77,23.42,6.05,11.38,27.49,54.98
1364,13,0,13,0.0,6.84,104.92,50.16,34.58,18.06,48.52,75.0,99.75
432,13,0,13,0.0,2.12,130.0,23.09,32.84,11.27,12.99,19.9,70.14
1137,13,0,13,0.0,1.5,405.32,139.84,143.43,6.6,98.06,284.23,344.8
4146,13,0,13,0.0,0.05,88.24,24.18,25.16,5.46,19.99,30.31,65.28
4489,13,0,13,0.0,3.49,203.9,42.06,56.79,10.9,17.39,36.9,136.92
3106,13,0,13,0.0,0.76,0.76,0.76,0.0,0.76,0.76,0.76,0.76
