Cluster,0,1,total_transactions,Fraud_Amount,Min_Amount,Max_Amount,Avg_Amount,Std_Amount,25%_Amount,50%_Amount,75%_Amount,95%_Amount
-1,14045,28,14073,4367.36,0.0,25691.16,168.83,426.15,10.62,44.36,166.9,706.38
992,4515,0,4515,0.0,0.0,409.0,23.29,36.97,2.69,9.81,26.94,98.0
979,3672,0,3672,0.0,0.0,390.48,23.91,37.15,2.69,9.0,28.78,99.95
969,3167,0,3167,0.0,0.0,853.71,61.74,105.48,4.49,19.99,68.1,283.83
894,2966,0,2966,0.0,0.0,1542.72,71.66,139.62,4.0,23.12,74.95,306.68
954,2399,0,2399,0.0,0.0,826.0,53.37,94.93,1.98,15.5,57.06,235.56
891,2248,0,2248,0.0,0.0,778.7,56.7,91.25,2.95,20.0,65.95,244.88
948,829,0,829,0.0,0.01,667.96,46.53,83.4,1.98,12.99,50.0,192.12
964,802,0,802,0.0,0.01,256.79,24.29,34.23,3.59,10.34,30.34,99.0
586,696,0,696,0.0,0.0,1157.32,91.3,135.44,19.95,45.4,100.02,338.39
887,691,0,691,0.0,0.31,513.41,40.02,75.91,1.81,8.98,40.38,211.06
926,666,0,666,0.0,0.11,252.6,20.8,31.35,2.98,8.99,23.79,85.25
584,571,0,571,0.0,0.0,736.87,83.83,105.87,19.95,46.8,97.45,309.57
512,553,0,553,0.0,1.0,905.36,98.04,120.49,20.8,54.0,126.0,338.32
581,545,0,545,0.0,0.02,593.75,75.61,97.08,15.0,34.99,85.0,281.44
457,467,0,467,0.0,0.01,816.0,91.53,118.12,20.0,49.99,109.76,346.19
579,456,0,456,0.0,0.02,765.0,88.72,117.9,15.0,40.02,110.33,360.79
503,442,0,442,0.0,1.0,830.0,126.2,138.05,35.21,71.25,158.0,434.48
496,435,0,435,0.0,0.01,598.61,74.29,80.55,19.99,45.94,103.72,234.78
500,405,0,405,0.0,1.0,569.97,115.53,117.58,31.9,75.9,158.0,359.99
367,394,0,394,0.0,0.01,282.27,28.14,40.68,3.86,11.5,38.33,97.79
493,392,0,392,0.0,0.95,774.79,129.29,138.95,34.99,77.88,180.0,407.75
877,355,0,355,0.0,0.0,604.72,54.5,98.17,5.48,14.41,56.5,289.79
506,354,0,354,0.0,1.0,981.95,107.86,132.15,29.96,59.21,140.99,316.72
458,348,0,348,0.0,0.01,659.02,70.97,94.24,15.0,34.4,82.85,270.21
338,338,0,338,0.0,0.01,798.0,64.01,105.37,6.99,28.69,74.22,254.59
323,329,0,329,0.0,0.0,349.51,43.38,61.86,1.98,17.18,59.85,169.23
925,297,0,297,0.0,1.0,600.0,59.73,109.1,1.0,7.71,64.0,319.88
824,267,0,267,0.0,1.0,800.0,100.27,144.3,1.0,39.9,145.38,390.98
865,264,0,264,0.0,0.0,302.74,40.04,56.29,5.46,15.58,54.68,156.48
885,259,0,259,0.0,0.0,368.54,35.19,54.67,6.03,12.14,40.11,151.24
462,252,0,252,0.0,2.0,332.7,55.87,62.91,15.0,28.2,75.0,187.0
722,247,0,247,0.0,0.0,1603.42,174.26,299.16,10.0,49.99,179.06,812.0
518,224,0,224,0.0,1.0,305.3,51.86,53.28,15.0,29.18,72.1,158.0
239,221,0,221,0.0,0.99,264.82,27.38,35.77,10.82,15.95,36.0,80.0
823,213,0,213,0.0,0.0,432.47,38.29,67.94,4.95,12.13,38.0,155.77
237,205,0,205,0.0,0.77,231.7,29.36,38.53,9.66,15.95,37.34,101.1
360,192,0,192,0.0,0.0,531.7,54.87,85.15,1.98,22.16,74.2,231.73
639,178,0,178,0.0,1.0,198.0,46.72,40.26,17.27,32.95,68.22,126.46
631,171,0,171,0.0,0.02,225.0,31.58,33.09,12.0,19.95,39.45,95.37
817,168,0,168,0.0,0.0,190.16,24.91,34.04,4.88,10.65,33.3,94.83
246,157,0,157,0.0,0.8,255.68,27.16,46.2,2.12,11.27,27.93,119.2
251,156,0,156,0.0,0.89,335.5,27.26,43.68,3.0,12.99,30.48,99.99
970,130,0,130,0.0,0.76,247.91,7.11,26.66,0.76,1.0,1.0,52.9
873,123,1,124,0.76,0.76,219.88,6.44,29.73,0.76,1.0,1.0,1.0
795,124,0,124,0.0,0.0,226.99,25.51,33.44,5.47,12.46,31.02,87.23
326,111,0,111,0.0,0.44,236.6,36.18,55.66,1.98,12.14,46.81,180.25
351,101,0,101,0.0,0.89,259.9,28.81,46.28,3.99,9.99,33.78,121.45
747,96,0,96,0.0,0.01,293.68,37.39,50.95,7.46,14.61,49.3,148.5
271,96,0,96,0.0,0.77,100.0,14.05,17.66,2.69,8.91,16.98,49.99
580,90,1,91,19.95,11.0,390.0,54.85,57.44,19.97,30.0,65.0,159.0
247,90,0,90,0.0,0.89,235.28,21.67,35.99,1.0,4.9,35.12,73.15
577,88,0,88,0.0,5.95,199.0,50.07,46.56,19.95,33.5,62.89,165.5
730,85,0,85,0.0,0.01,407.92,57.69,78.74,9.2,28.75,78.26,198.73
278,81,0,81,0.0,0.02,405.32,73.07,90.06,15.0,33.97,94.43,286.55
283,80,0,80,0.0,1.04,1000.0,139.77,217.98,29.1,47.49,132.14,611.46
180,69,0,69,0.0,1.55,128.25,13.98,16.02,11.85,11.85,11.85,11.85
